Date,Value
2012-07-20,1421994.5458405
2012-07-19,1295478.2161053
2012-07-18,1740583.5357403
2012-07-17,2666970.476881
2012-07-16,1695175.1055911
2012-07-15,1672124.0987115
2012-07-14,2369172.7599442
2012-07-13,2448766.9496705
2012-07-12,1310703.5420016
2012-07-11,1249365.5336075
2012-07-10,2373200.4029368
2012-07-09,1893125.8765888
2012-07-08,623122.94940547
2012-07-07,4379832.1443217
2012-07-06,1621179.0825434
2012-07-05,1819963.9390486
2012-07-04,2384064.4362309
2012-07-03,1227878.7667338
2012-07-02,1167866.9692556
2012-07-01,1287322.110795
2012-06-30,1659773.1822362
2012-06-29,2843499.2629876
2012-06-28,3571435.2057754
2012-06-27,1327378.717288
2012-06-26,1782749.7534054
2012-06-25,1843260.4192292
2012-06-24,2180761.3144283
2012-06-23,3282570.0767307
2012-06-22,1584455.8981678
2012-06-21,1186755.3325122
2012-06-20,1737453.2948116
2012-06-19,2217216.3703426
2012-06-18,2575358.1056421
2012-06-17,1159009.9527743
2012-06-16,4351600.72403
2012-06-15,3656680.3493997
2012-06-14,5229504.5328969
2012-06-13,1760143.0673059
2012-06-12,2787261.3241819
2012-06-11,4066159.9848607
2012-06-10,1644528.2452387
2012-06-09,1867311.9420737
2012-06-08,6042248.6979972
2012-06-07,4158245.0143449
2012-06-06,2751676.4124914
2012-06-05,5317556.4559678
2012-06-04,3521172.5092288
2012-06-03,1609492.546854
2012-06-02,2387134.3599382
2012-06-01,3223156.2454484
2012-05-31,4812129.3092661
2012-05-30,1873294.8658956
2012-05-29,3153174.6726098
2012-05-28,2433082.7412649
2012-05-27,2082024.3643063
2012-05-26,5219577.8416106
2012-05-25,1416401.3156518
2012-05-24,1187257.4254199
2012-05-23,2395544.2170355
2012-05-22,4585990.2558481
2012-05-21,3722513.2646469
2012-05-20,1038377.3659882
2012-05-19,1338498.237537
2012-05-18,2258449.0646371
2012-05-17,3303219.4344997
2012-05-16,3967466.9294873
2012-05-15,2979362.4557896
2012-05-14,2062283.7475564
2012-05-13,2235581.9662899
2012-05-12,3086157.9011689
2012-05-11,1126846.0695967
2012-05-10,1264003.5083353
2012-05-09,2567050.1112245
2012-05-08,4235212.5470504
2012-05-07,1360550.6918723
2012-05-06,942031.3410807
2012-05-05,1089067.7056636
2012-05-04,1168190.5443439
2012-05-03,1118696.1637288
2012-05-02,1093624.1517838
2012-05-01,995623.20101484
2012-04-30,1191280.9388148
2012-04-29,970611.94816262
2012-04-28,1042504.4624846
2012-04-27,1334928.6511127
2012-04-26,2031001.0352719
2012-04-25,748268.59923666
2012-04-24,800438.04736053
2012-04-23,774046.05983679
2012-04-22,1150690.4488535
2012-04-21,1486036.5320909
2012-04-20,2411391.3634427
2012-04-19,739373.63237198
2012-04-18,1158712.007025
2012-04-17,1161251.5793757
2012-04-16,1516544.525552
2012-04-15,1329795.8417669
2012-04-14,811725.6219152
2012-04-13,944297.83762972
2012-04-12,1625269.8080808
